host_monotonic_s,session_id,command_sequence,applied_sequence,state,reject_reason,command_age_ms,ack_latency_ms,rssi_dbm,response_mask,leader_0,leader_1,leader_2,leader_3,leader_4,leader_5,target_0,target_1,target_2,target_3,target_4,target_5,measured_0,measured_1,measured_2,measured_3,measured_4,measured_5
24048.992623161,0,1,0,0,0,0,,-43,63,,,,,,,,,,,,,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977
24049.153727684,3597147943,3,2,1,0,25,80.85012800074765,-43,63,,,,,,,,,,,,,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977
24049.256119922,3597147943,6,5,1,0,9,66.43665099909413,-43,63,5.084745762711876,-98.17880794701986,93.17286652078775,58.66943866943868,-0.41514041514041367,2.5716385011021305,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977
24049.356020445,3597147943,9,8,1,0,10,66.55213699923479,-43,63,5.084745762711876,-98.17880794701986,93.17286652078775,58.66943866943868,-0.41514041514041367,2.5716385011021305,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977
24049.455966318,3597147943,12,11,1,0,9,66.45742600085214,-43,63,5.084745762711876,-98.17880794701986,93.17286652078775,58.66943866943868,-0.41514041514041367,2.5716385011021305,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977
24049.55606165,3597147943,15,14,1,0,9,66.71772599656833,-43,63,5.084745762711876,-98.17880794701986,93.17286652078775,58.66943866943868,-0.41514041514041367,2.5716385011021305,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977
24049.655929182,3597147943,18,17,1,0,9,66.58278300164966,-43,63,5.084745762711876,-98.17880794701986,93.17286652078775,58.66943866943868,-0.41514041514041367,2.5716385011021305,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977
24049.755967649,3597147943,21,20,1,0,9,66.6630220002844,-43,63,5.084745762711876,-98.17880794701986,93.17286652078775,58.66943866943868,-0.41514041514041367,2.5716385011021305,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977
24049.856013778,3597147943,24,23,1,0,9,66.76323799911188,-43,63,5.084745762711876,-98.17880794701986,93.17286652078775,58.66943866943868,-0.41514041514041367,2.5716385011021305,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977
24049.956141246,3597147943,27,26,1,0,9,66.79240399898845,-43,63,5.084745762711876,-98.17880794701986,93.17286652078775,58.66943866943868,-0.41514041514041367,2.5716385011021305,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977
24050.055946584,3597147943,30,29,1,0,9,66.59514700004365,-43,63,5.084745762711876,-98.17880794701986,93.17286652078775,58.66943866943868,-0.41514041514041367,2.5716385011021305,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977
