host_monotonic_s,session_id,command_sequence,applied_sequence,state,reject_reason,command_age_ms,ack_latency_ms,rssi_dbm,response_mask,leader_0,leader_1,leader_2,leader_3,leader_4,leader_5,target_0,target_1,target_2,target_3,target_4,target_5,measured_0,measured_1,measured_2,measured_3,measured_4,measured_5,leader_boot_session_id,leader_sample_sequence,leader_sample_gap_ms,leader_sample_age_ms,leader_response_mask,leader_model_mask,leader_torque_off_mask,leader_calibration_crc32,leader_read_errors,leader_torque_errors,leader_rssi_dbm,leader_recovery_count,control_chain_ack_latency_ms
10502.3812894,1890068650,2,1,1,0,35,81.18488599939155,-41,63,,,,,,,,,,,,,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,,,,,,,,,,,,,
10502.415454564,1890068650,3,3,1,0,3,33.265817999563296,-41,63,4.632768361581924,-99.83443708609272,95.53610503282275,53.67983367983368,3.8339438339438487,7.274063188831742,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,3883325296,436,,0.7817380010237684,63,63,63,2637611057,0,0,-40,0,34.117397999580135
10502.482032815,1890068650,5,4,1,0,19,66.13891899905866,-42,63,4.632768361581924,-99.83443708609272,95.53610503282275,53.67983367983368,3.8339438339438487,7.274063188831742,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,3883325296,438,34.158684000431094,0.3018890001840191,63,63,63,2637611057,0,0,-40,0,66.5369649996137
10502.548657027,1890068650,7,5,1,0,37,99.3905100003758,-42,63,4.632768361581924,-99.83443708609272,95.53610503282275,53.67983367983368,3.8339438339438487,7.274063188831742,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,3883325296,439,33.28958000020066,0.3915050001523923,63,63,63,2637611057,0,0,-40,0,99.87159699994663
10502.582099042,1890068650,8,6,1,0,3,99.64394199960225,-42,63,4.632768361581924,-99.83443708609272,95.53610503282275,53.67983367983368,3.8339438339438487,7.274063188831742,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,3883325296,441,33.29036499962967,0.30362200050149113,63,63,63,2637611057,0,0,-35,0,100.02324699962628
10502.615393202,1890068650,9,9,1,0,5,32.89389700148604,-42,63,4.632768361581924,-99.83443708609272,95.53610503282275,53.67983367983368,3.8339438339438487,7.274063188831742,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,3883325296,446,33.43880400097987,0.2898339989769738,63,63,63,2637611057,0,0,-35,0,33.25435599981574
10502.682414212,1890068650,11,10,1,0,19,66.60254199960036,-42,63,4.632768361581924,-99.83443708609272,95.53610503282275,53.67983367983368,3.8339438339438487,7.274063188831742,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,3883325296,448,33.295895998890046,0.2998470008606091,63,63,63,2637611057,0,0,-35,0,66.97947000066051
10502.715423052,1890068650,12,12,1,0,5,32.53107899945462,-42,63,4.632768361581924,-99.83443708609272,95.53610503282275,53.67983367983368,3.8339438339438487,7.274063188831742,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,3883325296,451,33.881682000355795,0.31759500052430667,63,63,63,2637611057,0,0,-35,0,32.960611999442335
10502.782368038,1890068650,14,13,1,0,19,66.47106499985966,-42,63,4.632768361581924,-99.83443708609272,95.53610503282275,53.67983367983368,3.8339438339438487,7.274063188831742,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,3883325296,453,33.00734799995553,0.3276170009485213,63,63,63,2637611057,0,0,-35,0,66.89825000103156
10502.815627687,1890068650,15,15,1,0,5,32.788192000225536,-42,63,4.632768361581924,-99.83443708609272,95.53610503282275,53.67983367983368,3.8339438339438487,7.274063188831742,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,3883325296,456,33.52019699923403,0.30277100086095743,63,63,63,2637611057,0,0,-35,0,33.214641000085976
